left	right	classes	next_symb
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	a
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	A
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	Aa
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	aa
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	?
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	1
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	??
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	?1
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	?11
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	??11
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	11
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	111
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	?AA1
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	?AA11
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	A1
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri	?111
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	a
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	A
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	Aa
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	aa
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	?
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	1
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	??
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	?1
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	?11
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	??11
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	11
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	111
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	?AA1
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	?AA11
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	A1
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct	?111
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	a
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	A
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	Aa
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	aa
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	?
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	1
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	??
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	?1
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	?11
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	??11
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	11
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	111
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	?AA1
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	?AA11
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	A1
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2	?111
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	a
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	A
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	Aa
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	aa
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	?
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	1
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	??
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	?1
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	?11
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	??11
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	11
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	111
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	?AA1
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	?AA11
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	A1
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3	?111
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	a
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	A
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	Aa
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	aa
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	?
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	1
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	??
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	?1
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	?11
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	??11
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	11
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	111
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	?AA1
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	?AA11
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	A1
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2	?111
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	a
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	A
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	Aa
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	aa
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	?
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	1
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	??
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	?1
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	?11
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	??11
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	11
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	111
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	?AA1
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	?AA11
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	A1
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4	?111
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	a
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	A
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	Aa
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	aa
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	?
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	1
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	??
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	?1
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	?11
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	??11
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	11
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	111
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	?AA1
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	?AA11
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	A1
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal	?111
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	a
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	A
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	Aa
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	aa
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	?
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	1
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	??
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	?1
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	?11
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	??11
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	11
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	111
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	?AA1
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	?AA11
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	A1
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2	?111
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	a
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	A
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	Aa
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	aa
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	?
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	1
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	??
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	?1
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	?11
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	??11
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	11
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	111
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	?AA1
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	?AA11
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	A1
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar	?111
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	a
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	A
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	Aa
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	aa
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	?
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	1
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	??
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	?1
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	?11
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	??11
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	11
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	111
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	?AA1
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	?AA11
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	A1
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2	?111
11	A	isotope_m - atom_bal	a
11	A	isotope_m - atom_bal	A
11	A	isotope_m - atom_bal	Aa
11	A	isotope_m - atom_bal	aa
11	A	isotope_m - atom_bal	?
11	A	isotope_m - atom_bal	1
11	A	isotope_m - atom_bal	??
11	A	isotope_m - atom_bal	?1
11	A	isotope_m - atom_bal	?11
11	A	isotope_m - atom_bal	??11
11	A	isotope_m - atom_bal	11
11	A	isotope_m - atom_bal	111
11	A	isotope_m - atom_bal	?AA1
11	A	isotope_m - atom_bal	?AA11
11	A	isotope_m - atom_bal	A1
11	A	isotope_m - atom_bal	?111
11	Aa	isotope_m - atom_bal_2	a
11	Aa	isotope_m - atom_bal_2	A
11	Aa	isotope_m - atom_bal_2	Aa
11	Aa	isotope_m - atom_bal_2	aa
11	Aa	isotope_m - atom_bal_2	?
11	Aa	isotope_m - atom_bal_2	1
11	Aa	isotope_m - atom_bal_2	??
11	Aa	isotope_m - atom_bal_2	?1
11	Aa	isotope_m - atom_bal_2	?11
11	Aa	isotope_m - atom_bal_2	??11
11	Aa	isotope_m - atom_bal_2	11
11	Aa	isotope_m - atom_bal_2	111
11	Aa	isotope_m - atom_bal_2	?AA1
11	Aa	isotope_m - atom_bal_2	?AA11
11	Aa	isotope_m - atom_bal_2	A1
11	Aa	isotope_m - atom_bal_2	?111
11	a	isotope_m - atom_bar	a
11	a	isotope_m - atom_bar	A
11	a	isotope_m - atom_bar	Aa
11	a	isotope_m - atom_bar	aa
11	a	isotope_m - atom_bar	?
11	a	isotope_m - atom_bar	1
11	a	isotope_m - atom_bar	??
11	a	isotope_m - atom_bar	?1
11	a	isotope_m - atom_bar	?11
11	a	isotope_m - atom_bar	??11
11	a	isotope_m - atom_bar	11
11	a	isotope_m - atom_bar	111
11	a	isotope_m - atom_bar	?AA1
11	a	isotope_m - atom_bar	?AA11
11	a	isotope_m - atom_bar	A1
11	a	isotope_m - atom_bar	?111
11	aa	isotope_m - atom_bar_2	a
11	aa	isotope_m - atom_bar_2	A
11	aa	isotope_m - atom_bar_2	Aa
11	aa	isotope_m - atom_bar_2	aa
11	aa	isotope_m - atom_bar_2	?
11	aa	isotope_m - atom_bar_2	1
11	aa	isotope_m - atom_bar_2	??
11	aa	isotope_m - atom_bar_2	?1
11	aa	isotope_m - atom_bar_2	?11
11	aa	isotope_m - atom_bar_2	??11
11	aa	isotope_m - atom_bar_2	11
11	aa	isotope_m - atom_bar_2	111
11	aa	isotope_m - atom_bar_2	?AA1
11	aa	isotope_m - atom_bar_2	?AA11
11	aa	isotope_m - atom_bar_2	A1
11	aa	isotope_m - atom_bar_2	?111
111	A	isotope_m - atom_bal	a
111	A	isotope_m - atom_bal	A
111	A	isotope_m - atom_bal	Aa
111	A	isotope_m - atom_bal	aa
111	A	isotope_m - atom_bal	?
111	A	isotope_m - atom_bal	1
111	A	isotope_m - atom_bal	??
111	A	isotope_m - atom_bal	?1
111	A	isotope_m - atom_bal	?11
111	A	isotope_m - atom_bal	??11
111	A	isotope_m - atom_bal	11
111	A	isotope_m - atom_bal	111
111	A	isotope_m - atom_bal	?AA1
111	A	isotope_m - atom_bal	?AA11
111	A	isotope_m - atom_bal	A1
111	A	isotope_m - atom_bal	?111
111	Aa	isotope_m - atom_bal_2	a
111	Aa	isotope_m - atom_bal_2	A
111	Aa	isotope_m - atom_bal_2	Aa
111	Aa	isotope_m - atom_bal_2	aa
111	Aa	isotope_m - atom_bal_2	?
111	Aa	isotope_m - atom_bal_2	1
111	Aa	isotope_m - atom_bal_2	??
111	Aa	isotope_m - atom_bal_2	?1
111	Aa	isotope_m - atom_bal_2	?11
111	Aa	isotope_m - atom_bal_2	??11
111	Aa	isotope_m - atom_bal_2	11
111	Aa	isotope_m - atom_bal_2	111
111	Aa	isotope_m - atom_bal_2	?AA1
111	Aa	isotope_m - atom_bal_2	?AA11
111	Aa	isotope_m - atom_bal_2	A1
111	Aa	isotope_m - atom_bal_2	?111
111	a	isotope_m - atom_bar	a
111	a	isotope_m - atom_bar	A
111	a	isotope_m - atom_bar	Aa
111	a	isotope_m - atom_bar	aa
111	a	isotope_m - atom_bar	?
111	a	isotope_m - atom_bar	1
111	a	isotope_m - atom_bar	??
111	a	isotope_m - atom_bar	?1
111	a	isotope_m - atom_bar	?11
111	a	isotope_m - atom_bar	??11
111	a	isotope_m - atom_bar	11
111	a	isotope_m - atom_bar	111
111	a	isotope_m - atom_bar	?AA1
111	a	isotope_m - atom_bar	?AA11
111	a	isotope_m - atom_bar	A1
111	a	isotope_m - atom_bar	?111
111	aa	isotope_m - atom_bar_2	a
111	aa	isotope_m - atom_bar_2	A
111	aa	isotope_m - atom_bar_2	Aa
111	aa	isotope_m - atom_bar_2	aa
111	aa	isotope_m - atom_bar_2	?
111	aa	isotope_m - atom_bar_2	1
111	aa	isotope_m - atom_bar_2	??
111	aa	isotope_m - atom_bar_2	?1
111	aa	isotope_m - atom_bar_2	?11
111	aa	isotope_m - atom_bar_2	??11
111	aa	isotope_m - atom_bar_2	11
111	aa	isotope_m - atom_bar_2	111
111	aa	isotope_m - atom_bar_2	?AA1
111	aa	isotope_m - atom_bar_2	?AA11
111	aa	isotope_m - atom_bar_2	A1
111	aa	isotope_m - atom_bar_2	?111
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	a
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	A
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	Aa
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	aa
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	?
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	1
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	??
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	?1
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	?11
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri	??11
